code,area_ha,water_level_full_cm,water_level_current_cm,water_level_missing_cm,note
R-1,181.29,74,96,-22,"Potrebno dopuniti"
R-2,133.58,50,115,-65,"Potrebno dopuniti"
R-3,101.36,80,98,-18,"Potrebno dopuniti"
R-4,59.3,85,123,-38,"Potrebno dopuniti"
R-5,26.26,25,50,-25,"Potrebno dopuniti"
R-6,9.37,38,259,-221,"Prazan, potrebno punjenje"
R-7,44.45,98,390,-292,"Prazan, potrebno punjenje"
R-8,14.84,48,97,-49,"Pražnjenje u R-23"
R-9,14.34,37,168,-131,"Punjenje iz prepusta Crnaja"
R-10,15.71,39,156,-117,"Prazan, potrebno punjenje"
R-11,16.33,55,252,-197,"Prazan, potrebno punjenje"
R-12,31.58,35,65,-30,"Nizak dotok vode, potrebno dopuniti"
R-13,32.75,25,77,-52,"Punjenje"
R-14,65.27,160,164,-4,"Punjenje iz R-15"
R-15,39.96,90,174,-84,"Punjenje iz napust R-15"
R-16,52.91,78,174,-96,"Nizak dotok vode, potrebno dopuniti"
R-17,6.29,46,128,-82,"Potrebno punjenje"
R-18,63.03,80,120,-40,"Prepuštanje u R-19a"
R-19,41.55,37,240,-203,"Potrebno punjenje"
R-19a,3.68,42,78,-36,"Punjenje iz R-18"
R-20,16.75,50,130,-80,"Prazan, potrebno punjenje"
R-21,29.64,60,202,-142,"Prazan, potrebno punjenje"
R-22,13.49,45,225,-180,"Prazan, potrebno punjenje"
R-23,27.75,103,115,-12,"Punjenje iz R-8"
R-24,151.12,59,391,-332,"Prazan, potrebno punjenje"
M-20,4.31,75,267,-192,"Prazan, potrebno punjenje"
Ras-3,1.51,63,260,-197,"Prazan, potrebno punjenje"
Ras-4,2.06,67,265,-198,"Prazan, potrebno punjenje"
Ras-5,4.34,81,280,-199,"Prazan, potrebno punjenje"
Ras-6,3.85,67,265,-198,"Prazan, potrebno punjenje"
Ras-7,3.98,82,280,-198,"Prazan, potrebno punjenje"
Ras-8,3.99,50,255,-205,"Prazan, potrebno punjenje"
Ras-9,5.7,75,275,-200,"Prazan, potrebno punjenje"
